Red_Frequency,Green_Frequency,Blue_Frequency,Clear_Frequency,Red,Green,Blue,Label
15063.589144747526,9972.094686506802,12510.216263696351,34550.8308642906,109.03396048055978,75.5115107238648,123.86889226429386,64.0
13706.034143434797,9149.020356092018,11453.259376315207,32188.02035461084,88.5138613043845,61.09526504788435,103.7173178788152,68.0
17336.395160482774,11400.721395965069,14044.139274522557,20369.173317204593,142.2616001619294,100.33665941390588,153.09087406032842,72.0
17266.124424214675,11238.705734577676,14118.373237865695,20159.203462930298,142.18696664612247,97.64789875383914,154.5157825479654,76.0
16598.704292275703,10784.057629774577,13622.07968993528,19412.232444140078,132.07524983227,89.86537474295551,145.33768330510298,80.0
15275.921740082727,9846.965364947106,12583.987198171237,34758.81410317829,112.12741710492904,73.20112058699796,125.6702347663357,84.0
14043.320984379345,9132.890154393765,11656.39982131189,32239.351741348637,93.84882397562907,60.85794363375645,107.74242745749162,88.0
12715.79202820738,8306.09647223551,10559.871970269382,29703.14024175948,73.97451349425208,46.23417510667784,87.0789429325135,92.0
16130.112916101905,10356.730793848043,13107.672664054899,31413.69233517804,124.83861176292965,82.16099096646062,134.64324897387382,96.0
16227.677003938607,10325.092723797596,13241.321090495749,33254.06626018581,125.95411850992755,81.88926432333865,137.8704281080452,100.0
15550.909124160191,9955.042389387188,12740.968462362176,35008.79215816443,116.57722182920745,75.28182871303565,128.57248185794296,104.0
15166.335694912083,10075.091172372808,12541.931923188366,34825.029227827836,110.73278507044567,77.32861911693672,124.079995381337,108.0
13084.282894364163,8314.645101766759,10882.047431752173,30160.44338878292,79.52548011894733,46.348488099178475,92.71395679754175,112.0
12618.794698476113,8241.269150304215,10215.408667337357,28417.42615520463,66.67603816285978,39.41228102208474,78.64510731278283,116.0
15058.153569117208,9438.38716673837,12233.591925310082,33684.34368352554,108.97604723032393,66.14339912185613,118.32768682009419,120.0
15096.716787281443,9500.460448249263,12384.569871742027,33757.71523347391,109.14070905649483,67.10556106836808,121.02453855159584,124.0
14645.24809352605,9645.89547098224,11965.961561300297,33086.68583550523,100.36534121482771,59.75444809118672,112.0246442030843,128.0
13313.558822091029,8352.97808440089,10993.72570798863,30455.70990877521,83.29908220443727,46.99115545058544,94.79700400189915,132.0
